"from","to"
"Conway–Maxwell–Poisson distribution","Rademacher distribution"
"Conway–Maxwell–Poisson distribution","Negative binomial distribution"
"Conway–Maxwell–Poisson distribution","Log-normal distribution"
"Conway–Maxwell–Poisson distribution","Least squares"
"Conway–Maxwell–Poisson distribution","Generalized linear model"
"Conway–Maxwell–Poisson distribution","Skewness"
"Conway–Maxwell–Poisson distribution","Wrapped Lévy distribution"
"Conway–Maxwell–Poisson distribution","Beta prime distribution"
"Conway–Maxwell–Poisson distribution","Q-exponential distribution"
"Conway–Maxwell–Poisson distribution","Bates distribution"
"Conway–Maxwell–Poisson distribution","Irwin–Hall distribution"
"Conway–Maxwell–Poisson distribution","Multivariate stable distribution"
"Conway–Maxwell–Poisson distribution","Tukey lambda distribution"
"Conway–Maxwell–Poisson distribution","Phase-type distribution"
"Conway–Maxwell–Poisson distribution","Davis distribution"
"Conway–Maxwell–Poisson distribution","Voigt profile"
"Conway–Maxwell–Poisson distribution","Parabolic fractal distribution"
"Conway–Maxwell–Poisson distribution","Normal distribution"
"Conway–Maxwell–Poisson distribution","Matrix t-distribution"
"Conway–Maxwell–Poisson distribution","Poisson binomial distribution"
"Conway–Maxwell–Poisson distribution","Relativistic Breit–Wigner distribution"
"Conway–Maxwell–Poisson distribution","Pearson distribution"
"Conway–Maxwell–Poisson distribution","Matrix gamma distribution"
"Conway–Maxwell–Poisson distribution","Wrapped Cauchy distribution"
"Conway–Maxwell–Poisson distribution","Probability distribution"
"Conway–Maxwell–Poisson distribution","Delaporte distribution"
"Conway–Maxwell–Poisson distribution","Von Mises distribution"
"Conway–Maxwell–Poisson distribution","Exponential-logarithmic distribution"
"Conway–Maxwell–Poisson distribution","Beta negative binomial distribution"
"Conway–Maxwell–Poisson distribution","Inverse matrix gamma distribution"
"Conway–Maxwell–Poisson distribution","Poly-Weibull distribution"
"Conway–Maxwell–Poisson distribution","Probability theory"
"Conway–Maxwell–Poisson distribution","Extended negative binomial distribution"
"Conway–Maxwell–Poisson distribution","Overdispersion"
"Conway–Maxwell–Poisson distribution","Categorical distribution"
"Conway–Maxwell–Poisson distribution","Logistic regression"
"Conway–Maxwell–Poisson distribution","ARGUS distribution"
"Conway–Maxwell–Poisson distribution","Inverse-chi-squared distribution"
"Conway–Maxwell–Poisson distribution","Bingham distribution"
"Conway–Maxwell–Poisson distribution","Negative multinomial distribution"
"Conway–Maxwell–Poisson distribution","Wrapped exponential distribution"
"Conway–Maxwell–Poisson distribution","Scaled inverse chi-squared distribution"
"Conway–Maxwell–Poisson distribution","Log-Laplace distribution"
"Conway–Maxwell–Poisson distribution","Wishart distribution"
"Conway–Maxwell–Poisson distribution","Pareto distribution"
"Conway–Maxwell–Poisson distribution","Tweedie distribution"
"Conway–Maxwell–Poisson distribution","Markov chain Monte Carlo"
"Conway–Maxwell–Poisson distribution","Generalized Pareto distribution"
"Conway–Maxwell–Poisson distribution","Kumaraswamy distribution"
"Conway–Maxwell–Poisson distribution","Degenerate distribution"
"Conway–Maxwell–Poisson distribution","Maximum likelihood"
"Conway–Maxwell–Poisson distribution","Inverse-gamma distribution"
"Conway–Maxwell–Poisson distribution","Zipf–Mandelbrot law"
"Conway–Maxwell–Poisson distribution","Expected value"
"Conway–Maxwell–Poisson distribution","Erlang distribution"
"Conway–Maxwell–Poisson distribution","Cumulative distribution function"
"Conway–Maxwell–Poisson distribution","U-quadratic distribution"
"Conway–Maxwell–Poisson distribution","Logistic distribution"
"Conway–Maxwell–Poisson distribution","Logit-normal distribution"
"Conway–Maxwell–Poisson distribution","Multivariate normal distribution"
"Conway–Maxwell–Poisson distribution","Moment-generating function"
"Conway–Maxwell–Poisson distribution","Chi distribution"
"Conway–Maxwell–Poisson distribution","Zipf's law"
"Conway–Maxwell–Poisson distribution","Beta-binomial distribution"
"Conway–Maxwell–Poisson distribution","Dirichlet-multinomial distribution"
"Conway–Maxwell–Poisson distribution","Inverse Gaussian distribution"
"Conway–Maxwell–Poisson distribution","Mode (statistics)"
"Conway–Maxwell–Poisson distribution","Normal-gamma distribution"
"Conway–Maxwell–Poisson distribution","Elliptical distribution"
"Conway–Maxwell–Poisson distribution","Entropy (information theory)"
"Conway–Maxwell–Poisson distribution","Generalized normal distribution"
"Conway–Maxwell–Poisson distribution","Poisson regression"
"Conway–Maxwell–Poisson distribution","Noncentral t-distribution"
"Conway–Maxwell–Poisson distribution","Truncated normal distribution"
"Conway–Maxwell–Poisson distribution","Gumbel distribution"
"Conway–Maxwell–Poisson distribution","Beta distribution"
"Conway–Maxwell–Poisson distribution","Geometric stable distribution"
"Jaccard index","Sørensen–Dice coefficient"
"Jaccard index","Sample (statistics)"
"Jaccard index","Diversity index"
"Jaccard index","Statistic"
"Jaccard index","MinHash"
"Quadratic classifier","Support vector machine"
"Quadratic classifier","Normal distribution"
"Quadratic classifier","Linear discriminant analysis"
"Quadratic classifier","Likelihood-ratio test"
"Quadratic classifier","Linear classifier"
"Stochastic modelling (insurance)","Probability density function"
"Stochastic modelling (insurance)","Stochastic process"
"Stochastic modelling (insurance)","Mean"
"Stochastic modelling (insurance)","Monte Carlo method"
"Stochastic modelling (insurance)","Random variable"
"Polykay","Moment (mathematics)"
"Forward measure","Martingale (probability theory)"
"Survey sampling","Multivariate statistics"
"Survey sampling","Survey methodology"
"Survey sampling","Statistical theory"
"Survey sampling","Statistical model"
"Survey sampling","Statistical inference"
"Survey sampling","Survey data collection"
"Survey sampling","Census"
"Survey sampling","Exploratory data analysis"
"Survey sampling","Poisson regression"
"Mean squared prediction error","Mean squared error"
"Mean squared prediction error","Mallows's Cp"
"Mean squared prediction error","Portal:Statistics"
"Mean squared prediction error","Smoothing"
"Mean squared prediction error","Hat matrix"
"Mean squared prediction error","Curve fitting"
"Empirical likelihood","Maximum likelihood"
"Hypoexponential distribution","Variance-gamma distribution"
"Hypoexponential distribution","Q-exponential distribution"
"Hypoexponential distribution","Student's t-distribution"
"Hypoexponential distribution","Log-normal distribution"
"Hypoexponential distribution","Skewness"
"Hypoexponential distribution","Wrapped Lévy distribution"
"Hypoexponential distribution","Beta prime distribution"
"Hypoexponential distribution","Bates distribution"
"Hypoexponential distribution","Irwin–Hall distribution"
"Hypoexponential distribution","Stochastic process"
"Hypoexponential distribution","Multivariate stable distribution"
"Hypoexponential distribution","Tukey lambda distribution"
"Hypoexponential distribution","Phase-type distribution"
"Hypoexponential distribution","Expected value"
"Hypoexponential distribution","Davis distribution"
"Hypoexponential distribution","Voigt profile"
"Hypoexponential distribution","Parabolic fractal distribution"
"Hypoexponential distribution","Normal distribution"
"Hypoexponential distribution","Matrix t-distribution"
"Hypoexponential distribution","Poisson binomial distribution"
"Hypoexponential distribution","Relativistic Breit–Wigner distribution"
"Hypoexponential distribution","Matrix gamma distribution"
"Hypoexponential distribution","Wrapped Cauchy distribution"
"Hypoexponential distribution","Probability distribution"
"Hypoexponential distribution","Probability theory"
"Hypoexponential distribution","Delaporte distribution"
"Hypoexponential distribution","Von Mises distribution"
"Hypoexponential distribution","Conway–Maxwell–Poisson distribution"
"Hypoexponential distribution","Exponential-logarithmic distribution"
"Hypoexponential distribution","Beta negative binomial distribution"
"Hypoexponential distribution","Inverse matrix gamma distribution"
"Hypoexponential distribution","Negative binomial distribution"
"Hypoexponential distribution","Poly-Weibull distribution"
"Hypoexponential distribution","Extended negative binomial distribution"
"Hypoexponential distribution","Categorical distribution"
"Hypoexponential distribution","ARGUS distribution"
"Hypoexponential distribution","Inverse-chi-squared distribution"
"Hypoexponential distribution","Bingham distribution"
"Hypoexponential distribution","Negative multinomial distribution"
"Hypoexponential distribution","Wrapped exponential distribution"
"Hypoexponential distribution","Scaled inverse chi-squared distribution"
"Hypoexponential distribution","Rademacher distribution"
"Hypoexponential distribution","Log-Laplace distribution"
"Hypoexponential distribution","Wishart distribution"
"Hypoexponential distribution","Pareto distribution"
"Hypoexponential distribution","Tweedie distribution"
"Hypoexponential distribution","Generalized Pareto distribution"
"Hypoexponential distribution","Kumaraswamy distribution"
"Hypoexponential distribution","Degenerate distribution"
"Hypoexponential distribution","Inverse-gamma distribution"
