"from","to","weight"
"Category:Statistical models","Category:Statistics articles needing expert attention",98
"Category:Statistical genetics","Category:Demography",2
"Category:Pharmaceutical statistics","Category:Nonlinear time series analysis",1
"Category:Time series analysis","Category:F-divergences",1
"Category:Economic data","Category:Hypothesis testing",3
"Category:Normality tests","Category:Non-parametric Bayesian methods",5
"Category:Statistical laws","Category:Biostatistics",8
"Category:Martingale theory","Category:Signal processing",17
"Category:Misuse of statistics","Category:Medical statistics",11
"Category:Statistical natural language processing","Category:Categorical data",10
"Category:Survival analysis","Category:Spatial data analysis",10
"Category:Statistical dependence","Category:Statistical terminology",282
"Category:Hypothesis testing","Category:Discrete distributions",21
"Category:Theory of probability distributions","Category:Characterization of probability distributions",2
"Category:Statistical data types","Category:Statistical laws",3
"Category:Non-parametric Bayesian methods","Category:Statistical theorems",44
"Category:Missing data","Category:Statistical forecasting",1
"Category:Quality control","Category:Point estimation performance",7
"Category:Survey methodology","Category:Regression analysis",170
"Category:Cohort studies","Category:Statistical data types",2
"Category:Markov models","Category:Normality tests",1
"Category:Nonlinear time series analysis","Category:Statistical charts and diagrams",15
"Category:Classification algorithms","Category:Asymptotic statistical theory",2
"Category:Analysis of variance","Category:Random matrices",8
"Category:Fields of application of statistics","Category:Markov models",1
"Category:Normality tests","Category:Exploratory data analysis",5
"Category:Directional statistics","Category:Statistical charts and diagrams",15
"Category:Markov models","Category:Actuarial science",13
"Category:Sensitivity analysis","Category:Data analysis",11
"Category:Statistical inference","Category:Statistical outliers",18
"Category:Statistics articles needing expert attention","Category:Markov processes",9
"Category:Sensitivity analysis","Category:Estimation theory",18
"Category:Statistical theorems","Category:Stochastic processes",68
"Category:Statistical outliers","Category:Model selection",2
"Category:Statistics education","Category:Bayesian inference",5
"Category:Effect size","Category:Statistical principles",1
"Category:Data analysis","Category:Statistical mechanics",5
"Category:Optimal decisions","Category:Survey methodology",14
"Category:Conjugate prior distributions","Category:Statistical classification",1
"Category:Quality control","Category:Statistics articles needing expert attention",58
"Category:Robust statistics","Category:Statistical randomness",3
"Category:Cluster analysis","Category:Statistical randomness",1
"Category:Point estimation performance","Category:Actuarial science",7
"Category:Applications of Bayesian inference","Category:Bayesian statistics",11
"Category:Statistical inference","Category:Markov models",7
"Category:Effect size","Category:Statistical methods",9
"Category:Epidemiology","Category:Environmental statistics",7
"Category:Types of probability distributions","Category:Statistical genetics",14
"Category:Summary statistics for categorical data","Category:Probability distributions",6
"Category:Exploratory data analysis","Category:Point processes",2
"Category:Multivariate statistics","Category:Statistical approximations",1
"Category:Exponential family distributions","Category:Risk analysis",1
"Category:Multivariate statistics","Category:Statistical principles",13
"Category:Bayesian statistics","Category:Cheminformatics",8
"Category:Exploratory data analysis","Category:Distributions with conjugate priors",1
"Category:Sampling (statistics)","Category:Environmental statistics",11
"Category:Estimation of densities","Category:Least squares",4
"Category:Computational statistics","Category:Actuarial science",12
"Category:Asymptotic statistical theory","Category:Multivariate time series analysis",1
"Category:Data clustering algorithms","Category:Nonlinear time series analysis",1
"Category:Probability","Category:Statistical outliers",1
"Category:Latin squares","Category:Categorical data",27
"Category:Point processes","Category:Least squares",3
"Category:Evidence-based medicine","Category:Stochastic processes",1
"Category:Queueing theory","Category:Probability",8
"Category:Statistical approximations","Category:Statistical ratios",31
"Category:Non-parametric statistics","Category:Variance reduction",14
"Category:Statistics-related lists","Category:Econometrics",181
"Category:Population ecology","Category:Summary statistics for categorical data",1
"Category:Statistics stubs","Category:Quality control",51
"Category:Point processes","Category:Statistical ratios",13
"Category:Statistical dependence","Category:Statistical dependence",160
"Category:Regression diagnostics","Category:Psephology",1
"Category:Survey methodology","Category:Probability distributions",9
"Category:Signal processing","Category:Statistical inference",89
"Category:Engineering statistics","Category:Bioinformatics",17
"Category:Statistical approximations","Category:Covariance and correlation",27
"Category:Statistical inequalities","Category:Engineering statistics",1
"Category:Decision theory","Category:Statistical ratios",14
"Category:Multivariate discrete distributions","Category:Statistics stubs",8
"Category:Clustering criteria","Category:Hypothesis testing",3
"Category:Decision theory","Category:Markov chain Monte Carlo",1
"Category:Statistical dependence","Category:Resampling (statistics)",22
"Category:Detection theory","Category:Covariance and correlation",10
"Category:Cohort studies","Category:Hypothesis testing",1
"Category:Ethics and statistics","Category:Causal inference",11
"Category:Hypothesis testing","Category:Point estimation performance",11
"Category:Engineering statistics","Category:Actuarial science",53
"Category:Point estimation performance","Category:Regression analysis",40
"Category:Sampling (statistics)","Category:Design of experiments",254
"Category:Quality control","Category:Demography",44
"Category:Design of experiments","Category:Statistical outliers",44
"Category:Bayesian statistics","Category:Statistical dependence",56
"Category:Robust statistics","Category:Bayesian statistics",32
